index,rand,facet,last,top5,bot5,thresholdGroup,peak,currentValue,slope,thresholdGroupCurrent
1,48,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
2,47,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
3,49,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
4,48,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
5,49,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
6,48,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
7,57,Machine 12,0,0,0,3,1,54,0.014420672409002334,3
8,53,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
9,49,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
10,52,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
11,51,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
12,51,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
13,50,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
14,50,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
15,47,Machine 12,0,0,3,3,0,54,0.014420672409002334,3
16,48,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
17,53,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
18,50,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
19,48,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
20,48,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
21,51,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
22,51,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
23,50,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
24,49,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
25,42,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
26,55,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
27,54,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
28,49,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
29,47,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
30,48,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
31,46,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
32,53,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
33,45,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
34,52,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
35,47,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
36,50,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
37,49,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
38,50,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
39,47,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
40,50,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
41,48,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
42,51,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
43,49,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
44,49,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
45,54,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
46,52,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
47,46,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
48,52,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
49,53,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
50,51,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
51,50,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
52,49,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
53,48,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
54,49,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
55,52,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
56,49,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
57,45,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
58,51,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
59,56,Machine 12,0,0,0,3,0,54,0.014420672409002334,3
60,54,Machine 12,1,0,0,3,0,54,0.014420672409002334,3
