index,value,facet,last,top5,bot5,thresholdGroup,peak,currentValue,slope,thresholdGroupCurrent
1,51,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
2,49,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
3,55,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
4,49,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
5,52,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
6,54,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
7,47,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
8,46,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
9,50,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
10,52,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
11,49,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
12,51,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
13,54,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
14,49,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
15,50,Machine 7,0,0,5,3,0,51,-0.0222839677688247,3
16,48,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
17,50,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
18,49,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
19,49,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
20,48,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
21,52,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
22,53,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
23,52,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
24,51,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
25,52,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
26,50,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
27,52,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
28,52,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
29,50,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
30,48,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
31,50,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
32,50,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
33,51,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
34,49,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
35,52,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
36,50,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
37,53,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
38,48,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
39,51,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
40,49,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
41,54,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
42,48,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
43,49,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
44,50,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
45,49,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
46,48,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
47,54,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
48,45,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
49,48,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
50,57,Machine 7,0,0,0,3,1,51,-0.0222839677688247,3
51,55,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
52,51,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
53,45,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
54,52,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
55,45,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
56,46,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
57,47,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
58,49,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
59,50,Machine 7,0,0,0,3,0,51,-0.0222839677688247,3
60,51,Machine 7,1,0,0,3,0,51,-0.0222839677688247,3
